Data info
File name: D:\Documents\Uni\Tesi\ConditionPanda\Scripts\AutomationData\LattePanda20210304185416.dxd
Start time: 3/4/2021 18:54:20.320
Number of channels: 1
Sample rate: 5000
Store type: fast on trigger
Post time: 6000


Data1

Time (s),AI 1 - Prova (m/s2)
0,0.32128814
0.0002,0.27740219
0.0004,0.15990829
0.0006,-0.029076668
0.0008,-0.23169211
0.001,-0.31591296
0.0012,-0.29141712
0.0014,-0.22117095
0.0016,-0.092456013
0.0018,0.082861193
0.002,0.2577166
0.0022,0.34643507
0.0024,0.30460572
0.0026,0.17832893
0.0028,0.030206658
0.003,-0.13365145
0.0032,-0.2872408
0.0034,-0.34642947
0.0036,-0.28725228
0.0038,-0.14182341
0.004,0.030080449
0.0042,0.18696557
0.0044,0.2884081
0.0046,0.32660034
0.0048,0.2669757
0.005,0.090749197
0.0052,-0.10297717
0.0054,-0.25569743
0.0056,-0.31294706
0.0058,-0.29327011
0.006,-0.22263093
0.0062,-0.046989594
0.0064,0.16872852
0.0066,0.30935001
0.0068,0.32892659
0.007,0.276665
0.0072,0.15629703
0.0074,-0.020081481
0.0076,-0.20606899
0.0078,-0.32801172
0.008,-0.3353461
0.0082,-0.23733704
0.0084,-0.093531653
0.0086,0.061990988
0.0088,0.22312129
0.009,0.32052228
0.0092,0.32162946
0.0094,0.19314115
0.0096,0.013312001
0.0098,-0.13530076
0.01,-0.2609494
0.0102,-0.32284293
0.0104,-0.29024971
0.0106,-0.15645206
0.0108,0.02389626
0.011,0.20669129
0.0112,0.31749615
0.0114,0.3222433
0.0116,0.26652822
0.0118,0.13342758
0.012,-0.060430743
0.0122,-0.24605972
0.0124,-0.33157137
0.0126,-0.31100807
0.0128,-0.22554231
0.013,-0.074680768
0.0132,0.11074743
0.0134,0.26824063
0.0136,0.32647699
0.0138,0.28384164
0.014,0.15162446
0.0142,-0.020985017
0.0144,-0.17560986
0.0146,-0.30104911
0.0148,-0.34127504
0.015,-0.26822358
0.0152,-0.088448912
0.0154,0.10047295
0.0156,0.22996806
0.0158,0.3114697
0.016,0.3425054
0.0162,0.25641438
0.0164,0.046977978
0.0166,-0.15172501
0.0168,-0.26980689
0.017,-0.30366504
0.0172,-0.28171635
0.0174,-0.17203589
0.0176,0.01045798
0.0178,0.20284481
0.018,0.33255219
0.0182,0.32808042
0.0184,0.24708645
0.0186,0.12833335
0.0188,-0.043444298
0.019,-0.24153057
0.0192,-0.36437684
0.0194,-0.3327933
0.0196,-0.21340342
0.0198,-0.079439387
0.02,0.070576005
0.0202,0.23819739
0.0204,0.33674002
0.0206,0.30947047
0.0208,0.16641374
0.021,-0.006221551
0.0212,-0.15713187
0.0214,-0.27285308
0.0216,-0.3155573
0.0218,-0.28559434
0.022,-0.14432175
0.0222,0.063344859
0.0224,0.22978736
0.0226,0.30503026
0.0228,0.31106529
0.023,0.25543338
0.0232,0.087918125
0.0234,-0.12472223
0.0236,-0.28090459
0.0238,-0.32468155
0.024,-0.29053369
0.0242,-0.19637392
0.0244,-0.035596456
0.0246,0.1595813
0.0248,0.314863
0.025,0.33048984
0.0252,0.24504991
0.0254,0.11254302
0.0256,-0.052422278
0.0258,-0.21264617
0.026,-0.33714458
0.0262,-0.34307924
0.0264,-0.2374116
0.0266,-0.068292923
0.0268,0.10497627
0.027,0.23949961
0.0272,0.31902787
0.0274,0.31213519
0.0276,0.20142499
0.0278,0.0050482471
0.028,-0.17882243
0.0282,-0.28938919
0.0284,-0.31650099
0.0286,-0.28888723
0.0288,-0.17132166
0.029,0.022246951
0.0292,0.20535465
0.0294,0.3079187
0.0296,0.30786994
0.0298,0.23809987
0.03,0.10428787
0.0302,-0.07643047
0.0304,-0.2574127
0.0306,-0.3491286
0.0308,-0.31093636
0.031,-0.19416243
0.0312,-0.055987649
0.0314,0.1057364
0.0316,0.27223051
0.0318,0.34146419
0.032,0.28827327
0.0322,0.13764979
0.0324,-0.033909861
0.0326,-0.1861683
0.0328,-0.29568815
0.033,-0.31482014
0.0332,-0.25356048
0.0334,-0.088572249
0.0336,0.11190624
0.0338,0.2632468
0.034,0.32462403
0.0342,0.306757
0.0344,0.2240535
0.0346,0.041542429
0.0348,-0.16498831
0.035,-0.30117819
0.0352,-0.34842011
0.0354,-0.30215344
0.0356,-0.18202351
0.0358,-0.015563809
0.036,0.16920179
0.0362,0.30127269
0.0364,0.3131133
0.0366,0.23531754
0.0368,0.091150768
0.037,-0.060935576
0.0372,-0.20575634
0.0374,-0.32366902
0.0376,-0.33096614
0.0378,-0.20788181
0.038,-0.019659832
0.0382,0.12072646
0.0384,0.24613127
0.0386,0.33914942
0.0388,0.31689665
0.039,0.18130341
0.0392,-0.017551584
