Data info
File name: D:\Documents\Uni\Tesi\ConditionPanda\Scripts\AutomationData\LattePanda20210314144404.dxd
Start time: 3/14/2021 14:44:06.108
Number of channels: 1
Sample rate: 20000
Store type: fast on trigger
Post time: 10000


Data1

Time (s),AI 1 -  (m/s2)
0,0.0097265476
5E-5,0.011235306
0.0001,0.0042909994
0.00015,-0.00067700545
0.0002,-0.0037260754
0.00025,-0.01142763
0.0003,-0.0163354
0.00035,-0.02058918
0.0004,-0.020084349
0.00045,-0.021303404
0.0005,-0.01894561
0.00055,-0.017405299
0.0006,-0.013521535
0.00065,-0.0088231564
0.0007,0.0024896672
0.00075,0.01832303
0.0008,0.030011611
0.00085,0.037942633
0.0009,0.043533072
0.00095,0.044362031
0.001,0.03816063
0.00105,0.032002255
0.0011,0.025743484
0.00115,0.017829673
0.0012,0.016160285
0.00125,0.014723236
0.0013,0.012941983
0.00135,0.02128605
0.0014,0.028150044
0.00145,0.033840876
0.0015,0.033138126
0.00155,0.031861704
0.0016,0.029578488
0.00165,0.021532729
0.0017,0.01694048
0.00175,0.013180057
0.0018,0.0086853309
0.00185,0.0023060921
0.0019,-0.0007343727
0.00195,-0.00049343018
0.002,0.0039009019
0.00205,0.0095859971
0.0021,0.014178246
0.00215,0.018328767
0.0022,0.021492573
0.00225,0.025270205
0.0023,0.029377703
0.00235,0.031067166
0.0024,0.023672529
0.00245,0.016857298
0.0025,0.0091872942
0.00255,0.0037259315
0.0026,-0.0019362168
0.00265,-0.002965959
0.0027,-0.00016643683
0.00275,0.0019676252
0.0028,0.0042164219
0.00285,0.0037919041
0.0029,0.0038263244
0.00295,0.0066430569
0.003,0.0036857747
0.00305,0.00016342491
0.0031,-0.0036457612
0.00315,-0.0050770743
0.0032,-0.0052061505
0.00325,-0.0037203387
0.0033,-0.0033015574
0.00335,-0.00038443241
0.0034,0.0017955233
0.00345,0.0038205879
0.0035,0.0096376278
0.00355,0.017293289
0.0036,0.025783643
0.00365,0.03446044
0.0037,0.038817484
0.00375,0.040776577
0.0038,0.040762234
0.00385,0.040615946
0.0039,0.036815368
0.00395,0.032968894
0.004,0.028104149
0.00405,0.025711933
0.0041,0.024831345
0.00415,0.024759639
0.0042,0.026994091
0.00425,0.026251188
0.0043,0.026624072
0.00435,0.027398532
0.0044,0.029429331
0.00445,0.026601126
0.0045,0.025252998
0.00455,0.023222195
0.0046,0.021125423
0.00465,0.015116202
0.0047,0.012658013
0.00475,0.010767763
0.0048,0.0082349982
0.00485,0.0089492211
0.0049,0.010062146
0.00495,0.014172509
0.005,0.018337373
0.00505,0.021288918
0.0051,0.028118491
0.00515,0.03088933
0.0052,0.027521871
0.00525,0.021911353
0.0053,0.018750416
0.00535,0.017938672
0.0054,0.009907254
0.00545,0.0038808233
0.0055,-0.0028397511
0.00555,-0.0078507811
0.0056,-0.016246481
0.00565,-0.021613186
0.0057,-0.021710711
0.00575,-0.013682163
0.0058,-0.010357731
0.00585,-0.0059146364
0.0059,-0.0019677689
0.00595,-0.0020710297
0.006,0.001594738
0.00605,0.00054778554
0.0061,-0.0046296096
0.00615,-0.014846719
0.0062,-0.021248905
0.00625,-0.023859115
0.0063,-0.021773815
0.00635,-0.01480943
0.0064,-0.0040731472
0.00645,0.0060980679
0.0065,0.0098871756
0.00655,0.014809286
0.0066,0.014883865
0.00665,0.013891409
0.0067,0.014175379
0.00675,0.011329962
0.0068,0.005206007
0.00685,-0.00076879299
0.0069,-0.0035425001
0.00695,-0.0057912967
0.007,-0.0059289783
0.00705,-0.0020624248
0.0071,-0.0010613661
0.00715,0.0028998433
0.0072,0.010793578
0.00725,0.01648441
0.0073,0.017425233
0.00735,0.019740002
0.0074,0.019768685
0.00745,0.021363495
0.0075,0.02046283
0.00755,0.025588596
0.0076,0.03095817
0.00765,0.034606729
0.0077,0.042136181
0.00775,0.049031727
0.0078,0.054209121
0.00785,0.057086091
0.0079,0.058075674
0.00795,0.053652659
0.008,0.048558448
0.00805,0.041476458
0.0081,0.032211643
0.00815,0.022955436
0.0082,0.019573636
0.00825,0.017230185
0.0083,0.0093335817
0.00835,0.0079739774
0.0084,0.010363324
0.00845,0.014488029
0.0085,0.015549324
0.00855,0.016326649
0.0086,0.013423867
0.00865,0.0080600288
0.0087,0.00073709746
0.00875,-0.0075352611
0.0088,-0.012930652
0.00885,-0.016734103
0.0089,-0.018601405
0.00895,-0.022582693
0.009,-0.020523209
0.00905,-0.013068333
0.0091,-0.0039928332
0.00915,0.0051916651
0.0092,0.010446506
0.00925,0.013108347
0.0093,0.011043126
0.00935,0.0069327615
0.0094,-0.0022718152
0.00945,-0.011780439
0.0095,-0.021010829
0.00955,-0.029633129
0.0096,-0.03448353
0.00965,-0.037564155
0.0097,-0.034910917
0.00975,-0.029584369
0.0098,-0.020150322
0.00985,-0.011069085
0.0099,-0.0004073793
0.00995,0.0047097802
0.01,0.0031780745
0.01005,0.0021540688
0.0101,-0.0042567225
0.01015,-0.0080859875
0.0102,-0.0062961285
0.01025,0.00061375787
0.0103,0.0068811313
