Data info
File name: C:\Users\LattePanda\Documents\ConditionPanda\Scripts\AutomationData\LattePanda20210325111337.dxd
Start time: 3/25/2021 11:13:39.118
Number of channels: 1
Sample rate: 20000
Store type: fast on trigger
Post time: 2000


Data1

Time (s),AI 1 (V)
0.00000,0.043767835944891
0.00005,0.0451363287866116
0.00010,0.0468139797449112
0.00015,0.0472857728600502
0.00020,0.0486601255834103
0.00025,0.049161221832037
0.00030,0.0481502376496792
0.00035,0.048847671598196
0.00040,0.0482278913259506
0.00045,0.0473033525049686
0.00050,0.0454894416034222
0.00055,0.0421531870961189
0.00060,0.0402103401720524
0.00065,0.0339583456516266
0.00070,0.0271481145173311
0.00075,0.0242323745042086
0.00080,0.0240404345095158
0.00085,0.0246221162378788
0.00090,0.0222455691546202
0.00095,0.02067487873137
0.00100,0.0216463021934032
0.00105,0.0231027081608772
0.00110,0.0225166287273169
0.00115,0.0252125896513462
0.00120,0.0262646023184061
0.00125,0.0251950081437826
0.00130,0.0232331100851297
0.00135,0.0209986865520477
0.00140,0.019474882632494
0.00145,0.0169400926679373
0.00150,0.015606764703989
0.00155,0.0140316784381866
0.00160,0.012866847217083
0.00165,0.0104023870080709
0.00170,0.00956869125366211
0.00175,0.00767565751448274
0.00180,0.00627932557836175
0.00185,0.00659580761566758
0.00190,0.00576650677248836
0.00195,0.00402438826858997
0.00200,0.00305003300309181
0.00205,0.00363904191181064
0.00210,0.00187934120185673
0.00215,0.000550408265553415
0.00220,0.000192900406545959
0.00225,-0.00044006435200572
0.00230,-0.00141735025681555
0.00235,-0.00240928796119988
0.00240,-0.00414554541930556
0.00245,-0.00700121279805899
0.00250,-0.0087667740881443
0.00255,-0.0102905780076981
0.00260,-0.0130554037168622
0.00265,-0.0150319533422589
0.00270,-0.0176898185163736
0.00275,-0.0201982352882624
0.00280,-0.0242040809243917
0.00285,-0.0281557161360979
0.00290,-0.0304428860545158
0.00295,-0.0337703488767147
0.00300,-0.0366348065435886
0.00305,-0.0398538410663605
0.00310,-0.0420325882732868
0.00315,-0.0438684783875942
0.00320,-0.04569411277771
0.00325,-0.0468442924320698
0.00330,-0.0490596704185009
0.00335,-0.0484882444143295
0.00340,-0.048795934766531
0.00345,-0.0494025237858295
0.00350,-0.0495549067854881
0.00355,-0.0492091178894043
0.00360,-0.0496047213673592
0.00365,-0.0499490424990654
0.00370,-0.0497116819024086
0.00375,-0.0495944656431675
0.00380,-0.0488472171127796
0.00385,-0.0479490496218204
0.00390,-0.0456926487386227
0.00395,-0.045452356338501
0.00400,-0.0450215898454189
0.00405,-0.0439607873558998
0.00410,-0.0441014468669891
0.00415,-0.0446758009493351
0.00420,-0.0462186560034752
0.00425,-0.0471959412097931
0.00430,-0.0481365956366062
0.00435,-0.0497292652726173
0.00440,-0.0501072853803635
0.00445,-0.0505805425345898
0.00450,-0.049780547618866
0.00455,-0.0498025231063366
0.00460,-0.0498127788305283
0.00465,-0.0507182702422142
0.00470,-0.0507885999977589
0.00475,-0.0513570979237556
0.00480,-0.0518537983298302
0.00485,-0.0533204600214958
0.00490,-0.0531006790697575
0.00495,-0.0529087409377098
0.00500,-0.054498478770256
0.00505,-0.0540486611425877
0.00510,-0.0546288788318634
0.00515,-0.0552149601280689
0.00520,-0.0557101964950562
0.00525,-0.0564427934587002
0.00530,-0.0565424263477325
0.00535,-0.0570318028330803
0.00540,-0.0569263063371182
0.00545,-0.0572940707206726
0.00550,-0.057834729552269
0.00555,-0.0564486533403397
0.00560,-0.0557321719825268
0.00565,-0.0556911490857601
0.00570,-0.0557233802974224
0.00575,-0.0558845549821854
0.00580,-0.0576852783560753
0.00585,-0.0592471770942211
0.00590,-0.0613116398453713
0.00595,-0.0631724372506142
0.00600,-0.0660471543669701
0.00605,-0.069503553211689
0.00610,-0.0727123320102692
0.00615,-0.0772603005170822
0.00620,-0.0823137611150742
0.00625,-0.0864368230104446
0.00630,-0.0916866213083267
0.00635,-0.0965818464756012
0.00640,-0.1020353063941
0.00645,-0.105970822274685
0.00650,-0.110609628260136
0.00655,-0.113610349595547
0.00660,-0.115674816071987
0.00665,-0.117607407271862
0.00670,-0.119519487023354
0.00675,-0.121387615799904
0.00680,-0.152908384799957
0.00685,-0.180733919143677
0.00690,-0.190626919269562
0.00695,-0.200266450643539
