file_name,couch_db,influx_db
KPI-20210321230701824,True,True
RAW-20210321230701824,True,False
KPI-20210321231106819,True,True
RAW-20210321231106819,True,False
KPI-20210321232359794,True,True
RAW-20210321232359794,True,False
KPI-20210321232727786,True,True
RAW-20210321232727786,True,False
KPI-20210321232828784,True,True
RAW-20210321232828784,True,False
KPI-20210321233203776,True,True
RAW-20210321233203776,True,False
KPI-20210321233237776,True,True
RAW-20210321233237776,True,False
KPI-20210321233322774,True,True
RAW-20210321233322774,True,False
